City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
312,Polyarnyy,RU,69.1989,33.4478,32.0,74,75,8.95,broken clouds
313,Kiruna,SE,67.8557,20.2251,24.8,74,24,5.75,few clouds
314,Yakima,US,46.4665,-120.6678,57.0,54,90,5.75,overcast clouds
315,Beringovskiy,RU,63.05,179.3167,31.12,86,100,1.99,overcast clouds
316,Red Bluff,US,40.1785,-122.2358,51.8,82,90,17.27,moderate rain
317,Lagoa,PT,39.05,-27.9833,59.31,81,98,13.94,overcast clouds
318,Mount Isa,AU,-20.7333,139.5,71.6,56,5,4.61,light rain
319,Cartagena,CO,10.3997,-75.5144,87.8,70,75,13.8,broken clouds
320,Tuy Hoa,VN,13.0833,109.3,77.67,87,20,1.32,few clouds
321,Shujaabad,PK,29.8797,71.2931,82.4,42,0,6.26,haze
322,Nyurba,RU,63.2842,118.3319,31.87,98,100,4.68,overcast clouds
323,Druzhba,UA,52.0428,33.9453,33.49,65,2,5.44,clear sky
324,Hailar,CN,49.2,119.7,48.61,30,100,14.56,overcast clouds
325,Port Hawkesbury,CA,45.6169,-61.3485,60.8,36,1,11.5,clear sky
326,Los Llanos De Aridane,ES,28.6585,-17.9182,69.8,64,75,3.44,broken clouds
327,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,77,75,10.36,broken clouds
328,Ca Mau,VN,9.1769,105.15,79.43,84,16,4.0,few clouds
329,Ekhabi,RU,53.5102,142.9671,19.4,87,5,4.79,clear sky
330,Ivanava,BY,52.1451,25.5365,33.46,76,75,6.31,broken clouds
331,Slavyanka,RU,42.8633,131.3847,40.08,56,4,3.65,clear sky
332,Sumbe,AO,-11.2061,13.8437,80.17,87,100,5.79,overcast clouds
333,Baykit,RU,61.67,96.37,28.26,88,63,6.24,broken clouds
334,Asfi,MA,32.2994,-9.2372,63.7,82,6,20.49,clear sky
335,Tamandare,BR,-8.7597,-35.1047,79.84,77,20,7.16,few clouds
336,Brae,GB,60.3964,-1.353,44.6,87,20,5.75,few clouds
337,Itarema,BR,-2.9248,-39.9167,81.03,74,16,11.41,few clouds
338,Ojinaga,MX,29.5667,-104.4167,91.4,6,1,5.75,clear sky
339,Baruun-Urt,MN,46.6806,113.2792,48.78,65,95,18.48,overcast clouds
340,Bengkulu,ID,-3.8004,102.2655,75.76,89,57,4.59,broken clouds
341,Snasa,NO,64.2457,12.3778,37.4,65,75,2.3,broken clouds
342,Dhidhdhoo,MV,6.8833,73.1,83.93,72,16,5.3,few clouds
343,Clyde River,CA,70.4692,-68.5914,21.2,93,90,27.63,light snow
344,Talcahuano,CL,-36.7167,-73.1167,64.4,72,0,13.8,clear sky
345,General Roca,AR,-39.0333,-67.5833,69.8,49,0,11.5,clear sky
346,Seoul,KR,37.5683,126.9778,55.4,62,0,6.91,clear sky
